ID,구분,기존 문구,수정안,검토 상태
SC001,본문,스컬트라,홍대·합정 스컬트라,문구 수정안 · 원내 검토 전
SC002,본문,점진적 콜라겐 재생으로 동안 피부까지,"내 피부의 콜라겐으로, 자연스러운 볼륨과 탄력",문구 수정안 · 원내 검토 전
SC003,본문,"자가 콜라겐 생성을 통해
꺼진 볼륨을 서서히 채우고
피부 탄력까지 개선하는
스컬트라 시술입니다.","피부 속 콜라겐 생성을 도와
볼륨과 탄력의 변화를
천천히 만들어가는 스컬트라입니다.",문구 수정안 · 원내 검토 전
SC004,본문,시술 시간,시술 시간,기존 문구 유지
SC005,본문,20~30분 내외,20~30분 내외,기존 문구 유지
SC006,본문,마취 여부,마취 여부,기존 문구 유지
SC007,본문,연고/국소 마취,연고/국소 마취,기존 문구 유지
SC008,본문,회복 기간,회복 기간,기존 문구 유지
SC009,본문,즉시 생활 가능,일상 복귀는 개인차,문구 수정안 · 원내 검토 전
SC010,본문,효과 지속,효과 유지,문구 수정안 · 원내 검토 전
SC011,본문,1~2년 이상,최대 2년 보고,문구 수정안 · 원내 검토 전
SC012,본문,스컬트라란?,스컬트라는 어떤 시술인가요?,문구 수정안 · 원내 검토 전
SC013,본문,스컬트라는 콜라겐 생성을 촉진하는 FDA 승인 시술입니다.,스컬트라(Sculptra)는 PLLA(폴리-L-젖산) 성분으로 콜라겐 생성을 촉진하는 주사 시술입니다.,문구 수정안 · 원내 검토 전
SC014,본문,"즉각적인 볼륨 채움이 아닌 자가 콜라겐 재생을 통해
시간이 지날수록 자연스럽고 지속적인 효과를 제공합니다.","볼륨 감소와 주름, 탄력 저하가 고민일 때 고려할 수 있습니다. 콜라겐이 형성되면서 수주에서 수개월에 걸쳐 점진적인 변화를 기대하며, 변화의 정도와 속도에는 개인차가 있습니다.",문구 수정안 · 원내 검토 전
SC015,본문,자연스러운 변화,자연스러운 변화,기존 문구 유지
SC016,본문,급격한 변화가 아닌 2-3개월에 걸쳐 서서히 나타나는 자연스러운 개선,스컬트라는 피부 속 콜라겐이 형성되는 시간을 거쳐 서서히 변화를 만들어갑니다.,문구 수정안 · 원내 검토 전
SC017,본문,점진적 볼륨 회복,스컬트라의 콜라겐 생성 과정,문구 수정안 · 원내 검토 전
SC018,본문,콜라겐 생성 증가,콜라겐 생성 촉진,문구 수정안 · 원내 검토 전
SC019,본문,피부 탄력 개선,피부 탄력 변화,문구 수정안 · 원내 검토 전
SC020,본문,자연스러운 변화,자연스러운 변화,기존 문구 유지
SC021,본문,PLLA 성분이 콜라겐 생성을 촉진하여 시간이 갈수록 자연스러운 볼륨감 형성,PLLA 성분이 콜라겐 생성을 촉진해 점진적인 볼륨 변화를 돕습니다.,문구 수정안 · 원내 검토 전
SC022,본문,자가 콜라겐 재생으로 피부 속부터 탄력을 되찾아 동안 효과 구현,콜라겐이 형성되면서 피부의 탄력과 주름 개선을 기대할 수 있습니다.,문구 수정안 · 원내 검토 전
SC023,본문,급격한 변화가 아닌 2-3개월에 걸쳐 서서히 나타나는 자연스러운 개선,변화는 수주에서 수개월에 걸쳐 나타납니다. 피부 상태와 시술 계획에 따라 경과를 확인합니다.,문구 수정안 · 원내 검토 전
SC024,본문,스컬트라 효과,"스컬트라, 어떤 효과를 기대할 수 있나요?",문구 수정안 · 원내 검토 전
SC025,본문,점진적 볼륨 회복,점진적 볼륨 회복,기존 문구 유지
SC026,본문,PLLA 성분이 콜라겐 생성을 촉진하여 시간이 갈수록 자연스러운 볼륨감 형성,PLLA 성분이 콜라겐 생성을 촉진해 시간이 지나며 자연스러운 볼륨 변화를 돕습니다.,문구 수정안 · 원내 검토 전
SC027,본문,피부 탄력 개선,피부 탄력 개선,기존 문구 유지
SC028,본문,자가 콜라겐 재생으로 피부 속부터 탄력을 되찾아 동안 효과 구현,피부 속 콜라겐이 형성되면서 탄력과 주름의 변화를 함께 살펴볼 수 있습니다.,문구 수정안 · 원내 검토 전
SC029,본문,오래 지속되는 효과,지속되는 변화,문구 수정안 · 원내 검토 전
SC030,본문,콜라겐 생성 촉진으로 1-2년 이상 지속되는 자연스러운 변화,임상연구에서는 개선 효과가 최대 24개월까지 관찰되었습니다. 실제 유지 기간에는 개인차가 있습니다.,문구 수정안 · 원내 검토 전
SC031,본문,검증된 안전성,제품과 안전성 확인,문구 수정안 · 원내 검토 전
SC032,본문,미국 FDA 승인 받은 PLLA 성분으로 체내에서 안전하게 분해,스컬트라는 미국 FDA 승인을 받은 제품입니다. 의료진이 적용 부위와 주의사항을 확인해 시술을 계획합니다.,문구 수정안 · 원내 검토 전
SC033,본문,광범위한 적용 부위,부위별 맞춤 상담,문구 수정안 · 원내 검토 전
SC034,본문,"얼굴뿐만 아니라 목, 힙 등 바디 부위까지 적용 가능한 다양성",얼굴의 볼륨과 주름 고민을 함께 살펴봅니다. 목·힙 등 바디 부위는 적용 가능 여부를 별도로 상담합니다.,문구 수정안 · 원내 검토 전
SC035,본문,자연스러운 변화,자연스러운 변화,기존 문구 유지
SC036,본문,급격한 변화가 아닌 2-3개월에 걸쳐 서서히 나타나는 자연스러운 개선,"즉각적인 변화보다 서서히 달라지는 모습을 기대하는 분께, 피부 상태에 맞는 시술 계획을 제안합니다.",문구 수정안 · 원내 검토 전
SC037,본문,과학으로 증명된 스컬트라의 변화,연구 자료로 살펴보는 스컬트라,문구 수정안 · 원내 검토 전
SC038,본문,콜라겐 생성 증가,콜라겐 생성 증가,기존 문구 유지
SC039,본문,주름 개선 효과 지속,주름 개선 효과 지속,기존 문구 유지
SC040,본문,얇은 피부를 두껍게,피부 두께 연구,문구 수정안 · 원내 검토 전
SC041,본문,피부 조직 개선,피부 조직 개선,기존 문구 유지
SC042,본문,전반적인 피부 상태까지 케어,피부 상태 변화,문구 수정안 · 원내 검토 전
SC043,본문,"시술 3개월 후, Collagen Type 1이 baseline 대비 약 66% 증가하였습니다.","시술 3개월 후, Collagen Type 1이 baseline 대비 약 66% 증가하였습니다.",기존 문구 유지
SC044,본문,시술 후 주름 개선 효과가 오래 지속되었습니다.,해당 연구에서는 시술 후 주름 개선 효과가 유지되는 양상을 관찰했습니다.,문구 수정안 · 원내 검토 전
SC045,본문,"PLLA 시술 6주 후 피부 두께가 5.1 mm 증가하여, 48주 후에는 평균 7.2 mm 증가했습니다.","안면 지방위축이 있는 HIV 감염 환자 50명을 대상으로 한 VEGA 연구에서, 총 피부 두께(TCT) 변화량의 중앙값은 시술 전 대비 6주에 +5.1mm, 48주에 +7.2mm로 보고되었습니다. 일반적인 미용 시술에서 같은 증가량을 기대한다는 의미는 아닙니다.",문구 수정안 · 원내 검토 전
SC046,본문,"PLLA는 체내에서 주입 24개월 후까지 점차적으로 분해되었으며, 30개월 후에는 PLLA 주입 자리가 콜라겐으로 채워졌습니다.","PLLA는 체내에서 주입 24개월 후까지 점차적으로 분해되었으며, 30개월 후에는 PLLA 주입 자리가 콜라겐으로 채워졌습니다.",기존 문구 유지
SC047,본문,시술은 최종 시술 후 12개월 동안 콜라겐 생성과 더불어 환자의 팔자 주름 윤곽 뿐만 아니라 전반적인 피부 상태까지 개선했습니다,해당 연구에서는 최종 시술 후 12개월 동안 팔자주름의 윤곽과 전반적인 피부 상태의 변화를 관찰했습니다.,문구 수정안 · 원내 검토 전
SC048,본문,스컬트라 vs 필러 차이점,"스컬트라와 히알루론산 필러, 어떻게 다른가요?",문구 수정안 · 원내 검토 전
SC049,본문,"스컬트라는 단순히 채우는 필러가 아닌,
피부 속 콜라겐을 스스로 재생시켜
시간이 지날수록 자연스러운 탄탄함을 완성합니다.",스컬트라는 PLLA 성분으로 콜라겐 생성을 유도해 점진적인 변화를 돕습니다. 히알루론산(HA) 필러는 주입한 부위의 볼륨을 비교적 즉각적으로 보완합니다. 고민 부위와 원하는 변화에 따라 선택이 달라집니다.,문구 수정안 · 원내 검토 전
SC050,본문,효과 발현,효과 발현,기존 문구 유지
SC051,본문,점진적,점진적,기존 문구 유지
SC052,본문,즉각적,비교적 즉각적,문구 수정안 · 원내 검토 전
SC053,본문,중심 효과,중심 효과,기존 문구 유지
SC054,본문,콜라겐 재생 중심,콜라겐 재생 중심,기존 문구 유지
SC055,본문,볼륨 중심,볼륨 중심,기존 문구 유지
SC056,본문,특별한 점,경과 확인,문구 수정안 · 원내 검토 전
SC057,본문,시술 후 시간이 지날수록 더 좋아지는 효과,콜라겐 형성에 따른 변화를 관찰,문구 수정안 · 원내 검토 전
SC058,본문,-,주입 후 볼륨과 부기 경과를 확인,문구 수정안 · 원내 검토 전
SC059,본문,"뷰티블라썸,
1mm의 차이로 만드는 완벽한 나","얼굴 구조와 피부 상태를 고려한
뷰티블라썸 스컬트라 상담",문구 수정안 · 원내 검토 전
